q1_left,q2_left,q3_left,q4_left,q5_left,q6_left,q7_left,q1_right,q2_right,q3_right,q4_right,q5_right,q6_right,q7_right
0.0,-0.774,0.0,-2.35,0.0,1.573,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.767,0.0,-2.343,0.0,1.576,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.024,-0.745,-0.032,-2.317,-0.016,1.589,0.78,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.013,-0.745,-0.028,-2.316,-0.019,1.594,0.768,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.027,-0.745,0.012,-2.316,0.019,1.598,0.781,-0.011,-0.784,-0.025,-2.355,-0.014,1.571,0.784
0.03,-0.739,0.041,-2.308,0.025,1.601,0.795,-0.036,-0.771,-0.042,-2.347,-0.04,1.572,0.767
0.033,-0.725,0.047,-2.293,0.028,1.603,0.804,-0.02,-0.752,-0.049,-2.336,-0.044,1.575,0.76
0.037,-0.707,0.057,-2.272,0.028,1.604,0.806,-0.021,-0.772,-0.061,-2.343,-0.05,1.576,0.758
0.042,-0.684,0.071,-2.245,0.028,1.604,0.806,-0.021,-0.768,-0.077,-2.342,-0.057,1.576,0.758
0.049,-0.659,0.088,-2.215,0.028,1.604,0.806,-0.021,-0.766,-0.096,-2.342,-0.066,1.576,0.758
0.056,-0.632,0.107,-2.183,0.029,1.604,0.806,-0.021,-0.763,-0.118,-2.342,-0.074,1.576,0.758
0.064,-0.603,0.128,-2.148,0.029,1.604,0.806,-0.022,-0.761,-0.142,-2.342,-0.084,1.576,0.758
0.074,-0.571,0.151,-2.111,0.029,1.605,0.806,-0.023,-0.759,-0.168,-2.342,-0.093,1.576,0.758
0.084,-0.541,0.175,-2.075,0.029,1.607,0.806,-0.024,-0.757,-0.194,-2.342,-0.103,1.576,0.758
0.094,-0.508,0.2,-2.037,0.029,1.608,0.806,-0.026,-0.755,-0.222,-2.342,-0.113,1.576,0.758
0.105,-0.476,0.226,-1.999,0.03,1.61,0.806,-0.028,-0.754,-0.25,-2.342,-0.123,1.576,0.758
0.116,-0.443,0.254,-1.96,0.03,1.611,0.806,-0.031,-0.752,-0.28,-2.341,-0.133,1.576,0.758
0.127,-0.411,0.281,-1.923,0.03,1.614,0.806,-0.034,-0.751,-0.309,-2.341,-0.143,1.576,0.758
0.139,-0.377,0.31,-1.885,0.03,1.616,0.806,-0.038,-0.75,-0.341,-2.341,-0.153,1.576,0.758
0.151,-0.344,0.34,-1.847,0.03,1.619,0.806,-0.041,-0.749,-0.372,-2.341,-0.164,1.576,0.758
0.163,-0.311,0.369,-1.811,0.031,1.623,0.806,-0.045,-0.748,-0.404,-2.341,-0.174,1.576,0.758
0.175,-0.279,0.399,-1.775,0.031,1.626,0.806,-0.05,-0.747,-0.435,-2.341,-0.185,1.576,0.758
