q1_left,q2_left,q3_left,q4_left,q5_left,q6_left,q7_left,q1_right,q2_right,q3_right,q4_right,q5_right,q6_right,q7_right
0.0,-0.785,0.0,-2.356,0.0,1.571,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.758,0.0,-2.343,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.745,0.0,-2.339,0.0,1.572,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.724,0.0,-2.324,0.0,1.574,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.706,0.0,-2.31,0.0,1.576,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.684,0.0,-2.3,0.0,1.586,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.659,0.0,-2.284,0.0,1.596,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.63,0.0,-2.262,0.0,1.605,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.606,0.0,-2.242,0.0,1.61,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.572,0.0,-2.218,0.0,1.62,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.536,0.0,-2.195,0.0,1.631,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.001,-0.533,-0.011,-2.194,-0.0,1.632,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.007,-0.533,-0.028,-2.194,-0.001,1.633,0.784,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.019,-0.533,-0.054,-2.193,-0.003,1.633,0.783,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.025,-0.533,-0.069,-2.191,-0.011,1.635,0.781,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.034,-0.527,-0.092,-2.188,-0.023,1.635,0.779,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.041,-0.523,-0.104,-2.185,-0.029,1.636,0.777,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.046,-0.52,-0.111,-2.181,-0.033,1.637,0.774,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.046,-0.52,-0.093,-2.181,-0.034,1.637,0.772,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.041,-0.522,-0.076,-2.181,-0.034,1.638,0.771,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.035,-0.526,-0.058,-2.181,-0.034,1.639,0.768,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.018,-0.53,-0.029,-2.182,-0.033,1.64,0.768,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.041,-0.53,0.082,-2.182,0.009,1.64,0.769,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.029,-0.53,0.056,-2.182,0.012,1.64,0.77,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.026,-0.53,0.055,-2.183,0.017,1.643,0.779,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.026,-0.53,0.056,-2.183,0.019,1.644,0.782,-0.001,-0.785,-0.017,-2.356,-0.001,1.571,0.785
0.026,-0.53,0.056,-2.183,0.02,1.644,0.783,-0.009,-0.785,-0.044,-2.355,-0.01,1.571,0.784
0.026,-0.53,0.056,-2.183,0.02,1.644,0.784,-0.015,-0.785,-0.06,-2.355,-0.022,1.571,0.783
0.026,-0.53,0.057,-2.184,0.021,1.645,0.786,-0.024,-0.782,-0.081,-2.355,-0.034,1.571,0.782
0.026,-0.53,0.057,-2.184,0.022,1.645,0.787,-0.031,-0.777,-0.099,-2.354,-0.046,1.571,0.78
0.026,-0.53,0.057,-2.184,0.023,1.645,0.789,-0.035,-0.773,-0.115,-2.352,-0.056,1.571,0.777
0.026,-0.53,0.057,-2.184,0.023,1.646,0.79,-0.04,-0.768,-0.129,-2.349,-0.068,1.571,0.775
0.026,-0.53,0.057,-2.184,0.024,1.646,0.792,-0.044,-0.766,-0.134,-2.347,-0.071,1.572,0.77
0.026,-0.53,0.057,-2.184,0.024,1.647,0.794,-0.044,-0.767,-0.121,-2.346,-0.072,1.572,0.767
0.026,-0.53,0.058,-2.184,0.025,1.647,0.796,-0.042,-0.771,-0.076,-2.346,-0.068,1.572,0.764
0.026,-0.53,0.058,-2.184,0.025,1.647,0.797,-0.014,-0.781,-0.04,-2.346,-0.056,1.572,0.763
0.026,-0.53,0.058,-2.184,0.026,1.648,0.8,-0.015,-0.776,-0.048,-2.345,-0.052,1.572,0.762
0.026,-0.53,0.058,-2.184,0.026,1.648,0.801,-0.016,-0.744,-0.048,-2.342,-0.052,1.573,0.761
0.026,-0.53,0.058,-2.184,0.027,1.648,0.802,-0.016,-0.719,-0.049,-2.321,-0.05,1.575,0.761
0.026,-0.53,0.058,-2.184,0.027,1.649,0.804,-0.016,-0.754,-0.049,-2.328,-0.048,1.576,0.76
0.026,-0.53,0.058,-2.184,0.027,1.649,0.805,-0.016,-0.778,-0.049,-2.347,-0.047,1.576,0.759
